STEPS_PER_ACTION	GOOMBA_RANGE	KOOPA_RANGE	RUN_SCORE	RUN_TIME	STEPS
8	80	70	1413.0	20.9370248	871
8	80	75	1413.0	20.9970717	871
8	80	80	1413.0	20.9976729	871
9	30	30	231.0	3.9118949	159
9	30	35	231.0	3.8898675	159
9	30	40	231.0	3.9181381	159
9	30	45	231.0	3.8821381	159
9	30	50	231.0	3.9005217	159
9	30	55	231.0	3.8990533	159
9	30	60	231.0	3.9017824	159
9	30	65	231.0	3.915049	159
9	30	70	231.0	3.935524	159
9	30	75	231.0	3.8949396	159
9	30	80	231.0	3.8957307	159
9	35	30	231.0	3.9068047	159
9	35	35	231.0	4.0471278	159
9	35	40	231.0	4.0558843	159
9	35	45	231.0	4.1043905	159
9	35	50	231.0	4.0784896	159
9	35	55	231.0	4.0814409	159
9	35	60	231.0	4.0327233	159
9	35	65	231.0	3.8760321	159
9	35	70	231.0	3.880126	159
9	35	75	231.0	3.8797742	159
9	35	80	231.0	3.8967885	159
9	40	30	231.0	3.9300237	159
9	40	35	231.0	3.9155218	159
9	40	40	231.0	3.8816402	159
9	40	45	231.0	3.9917739	159
9	40	50	231.0	3.9316416	159
9	40	55	231.0	3.9194562	159
9	40	60	231.0	3.8908639	159
9	40	65	231.0	3.8925538	159
9	40	70	231.0	3.953443	159
9	40	75	231.0	3.9077656	159
9	40	80	231.0	3.8999783	159
9	45	30	231.0	3.8901334	159
9	45	35	231.0	3.882813	159
9	45	40	231.0	3.8862899	159
9	45	45	231.0	3.8654853	159
9	45	50	231.0	3.8499694	159
9	45	55	231.0	3.925749	159
9	45	60	231.0	3.8803644	159
9	45	65	231.0	3.9150557	159
9	45	70	231.0	3.9089684	159
9	45	75	231.0	3.9016319	159
9	45	80	231.0	3.9343394	159
9	50	30	231.0	3.9204742	159
9	50	35	231.0	3.8670462	159
9	50	40	231.0	3.860286	159
9	50	45	231.0	3.8968894	159
9	50	50	231.0	3.8819218	159
9	50	55	231.0	3.9018412	159
9	50	60	231.0	3.8730218	159
9	50	65	231.0	3.9341981	159
9	50	70	231.0	3.9652694	159
9	50	75	231.0	3.9765788	159
9	50	80	231.0	3.9139514	159
9	55	30	231.0	3.8963235	159
9	55	35	231.0	3.9250764	159
9	55	40	231.0	3.9286795	159
9	55	45	231.0	3.8917771	159
9	55	50	231.0	3.8926128	159
9	55	55	231.0	3.9263269	159
9	55	60	231.0	3.8901273	159
9	55	65	231.0	3.8869437	159
9	55	70	231.0	3.8974632	159
9	55	75	231.0	3.8732307	159
9	55	80	231.0	3.8821267	159
9	60	30	231.0	3.93244	159
9	60	35	231.0	3.9269149	159
9	60	40	231.0	3.8977264	159
9	60	45	231.0	3.9201266	159
9	60	50	231.0	3.8932461	159
9	60	55	231.0	3.8695748	159
9	60	60	231.0	3.9178563	159
9	60	65	231.0	3.8650149	159
9	60	70	231.0	3.8578715	159
9	60	75	231.0	3.8983101	159
9	60	80	231.0	3.8869677	159
9	65	30	231.0	3.890923	159
9	65	35	231.0	3.9342538	159
9	65	40	231.0	3.875701	159
9	65	45	231.0	3.873435	159
9	65	50	231.0	3.8997206	159
9	65	55	231.0	3.8937098	159
9	65	60	231.0	3.8733756	159
9	65	65	231.0	3.9522737	159
9	65	70	231.0	3.8689951	159
9	65	75	231.0	3.8584859	159
9	65	80	231.0	3.9167141	159
9	70	30	231.0	3.861456	159
9	70	35	231.0	3.8617798	159
9	70	40	231.0	3.8790596	159
9	70	45	231.0	3.9128202	159
9	70	50	231.0	3.8998457	159
9	70	55	231.0	3.9364386	159
9	70	60	231.0	3.8652065	159
9	70	65	231.0	3.8974104	159
9	70	70	231.0	3.8793298	159
9	70	75	231.0	3.8739222	159
